GA_ID,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018
419001,20.4,20.4,20.4,20.4,20.4,20.4,21.68,22.97,24.25,25.54,26.82,29.25,31.68,34.12,36.55,38.98,41.73,44.48,47.23,49.98,52.73,59.08,63.3,70.8,77.57,86.31,94.33,99.65,100.24,102.02,105.22,107.86,109.58,110.47,111.4,111.4,111.4,111.4,111.4
513233,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0.81397,0.82576,0.8262,0.87209,0.87209,0.87209,0.87209,0.87209
513231,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,1,1,1,1,1,1,1,1,1,2.76038,2.798446,2.808846,2.843766,2.843766,2.843766,2.843766,2.843766
632123,5.75,5.75,5.75,5.75,5.75,6.13,6.51,6.8893,7.9163,8.2502,9.59,8.58,9.35,10.12,10.5495,10.7446,11.1188,11.5,12.2,13,14.1,15.2,16.81,19.01,19.1,19.1,19.2,20,21,20.8775,21.4,22.1,23,23,23.3,22,21,21,21
632321,1.088,1.088,1.088,1.088,1.088,1,0.92,0.8357,0.9168,1.1448,1.78,1.15,1.16,1.17,1.2732,1.3274,1.5523,2.1,2.2,2.3,2.9,2.8,3.03,3.35,3.7,3.8,3.5,4,4.1,5.0163,5.2,5.3,5.4,5.5,5.5,4,6,6,6
632523,1.78,1.78,1.78,1.78,1.78,1.85,1.92,1.9887,2.3042,2.2779,2.62,3.64,3.73,3.82,3.9402,4.1452,4.5878,4.8,4.8,4.7,4.8,5,5.39,5.51,5.6,5.8,6.3,7,7,7.9239,9.03,9.1,9.1,10.5,10.6,11,11,11,11
632324,0.6,0.6,0.6,0.6,0.6,0.6,0.6,0.6,0.6,0.6,0.6,0.6,0.6,0.6,0.6,0.6,0.6,0.6,0.6,0.6,0.6,0.6,0.58,0.57,0.6,0.6,0.6,1,1,1.1268,1.17,1.1,1.4,1.5,1.7,2,2,2,2
630104,5.99,5.99,5.99,5.99,5.99,5.99,5.99,5.99,5.99,5.99,5.99,6.78,7.08,7.3,7.32,7.52,6.87,6.99,7.52,8.05,8.57,9.1,8.51,8.79,8.9,8.7,8.8,8,10.1,10.4655,10,7.7,7.5,7.5,8,8,8,8,8
632623,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.13,0.41,0.4,0.4,0.4,0.4,0.40675,0.4135,0.42,0.44,0.4,0.4,0.4,0.4,0.4,0.4,0.4
632122,7.51,7.51,7.51,7.51,7.51,7.69,7.87,8.043,8.4625,8.8312,8.96,8.99,9.91,10.83,11.24,12.1676,13.4467,13.8,14,15.8,17.6,14.7,17.96,19,23.3,23.3,24.5,26,28,31.2993,35.9,39.4,41.4,43.2,46.8,49,49,49,49
632121,3.3,3.3,3.3,3.3,3.3,3.5,3.71,3.9128,3.6221,3.6977,4.21,4.46,4.44,4.42,4.6899,4.9627,4.9672,5,5.2,5.4,5.4,6,5.8,5.93,6.1,6.3,5.9,6,6,6.6779,7,7.2,7.2,7.4,7.5,8,8,8,8
632221,2.567,2.567,2.567,2.567,2.567,2.98,3.39,3.8002,4.3959,4.1825,5.15,5.33,5.45,5.57,6.2599,6.9685,7.7533,8.1,8.5,9.1,10.2,10.3,11.1,10.52,12.1,12.8,12.7,13,14,27,29.9,30,30.2,33,33.7,35,35,35,35
632126,6.1,6.1,6.1,6.1,6.1,6.59,7.08,7.5675,8.139,8.5067,8.42,8.93,9.13,9.33,11.1821,13.6786,14.5985,14.8,18.2,20.5,22.2,23.7,26.51,30.58,32.5,34,35.7,38,39,40.5099,41.6,43.5,45.6,45.9,47.4,46,47,47,47
632322,0.76,0.76,0.76,0.76,0.76,0.95,1.15,1.343,1.4258,1.4221,1.84,1.95,1.93,1.91,1.864,1.8667,1.8667,1.6,1.7,2.3,2.5,2.4,2.88,3.2,3.2,3.8,3.9,4,4.6,5.1718,6.5,6.5,6.8,6.8,9,9,9,9,9
632323,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.56,0.76,0.8,0.9,0.8,1,1,1.1288,1.1,1.2,1.9,2,2,2,2,2,2
630122,9.3,9.3,9.3,9.3,9.3,10.47,11.64,12.8152,14.779,16.4922,18,19.78,22.18,24.9,33.21,37.28,32.64,40.78,42.7,48.16,50.94,58.5,60.72,65.17,70.7,63.5,61.9,64,64.8,65.9837,70,70.7,65.3,61.3,61.1,63,64,64,64
632723,0.8,0.8,0.8,0.8,0.8,0.8,0.8,0.8,0.8,0.8,0.8,0.8,0.8,0.8,0.8,0.8,0.8,0.8,0.8,0.8,0.8,0.8,0.97,1.19,1.2,1.4,1.2,1,2.4,3.1149,3.07,3.1,1.7,2.4,2.5,3,3,3,3
632624,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.07,0.1,0.1,0.1,0.1,0.1,0.2007,0.3014,0.31,0.32,0.3,0.3,0.3,0.3,0.3,0.3,0.3
632128,3.29,3.29,3.29,3.29,3.29,3.54,3.8,4.0504,4.0256,4.0902,4.48,5.18,5.69,6.2,6.696,7.0233,7.3922,7.7,8.1,8.4,9.1,7.2,7.52,7.79,7,7,6.8,7,8,8.1115,8.6,8.9,8.9,9.4,10,10,8,8,8
632522,2.8,2.8,2.8,2.8,2.8,2.8,2.8,2.8,2.8,2.8,2.8,2.8,2.8,2.8,2.8,2.8,2.8,2.8,2.8,2.8,2.8,2.8,2.84,3.44,3.5,3.5,3.4,4,5,3.4792,3.6,4.1,4.3,4.6,4.6,5,6,6,6
630121,5.85,5.85,5.85,5.85,5.85,5.81,9.1076,10.7,10.9685,10.95,10.94,12.19,13.44,14.69,15.94,18.29,22.68,23.34,23.87,28.3,29.16,29.6,30.45,33.04,36.2,37.8,38.7,39,38.7,42.9615,44,44.8,44.6,44.8,44.6,46,46,46,46
632525,6.6,6.6,6.6,6.6,6.6,6.6,6.6,6.6,6.6,6.6,6.6,6.6,6.6,6.6,6.6,6.6,6.6,6.6,6.6,6.6,6.6,6.6,6.14,6.26,7,6.7,6.8,7,8,6.9336,8.4,9,10.4,11.2,10.5,11,11,11,11
632127,3.65,3.65,3.65,3.65,3.65,4.07,4.49,4.9058,5.2716,5.5247,6.29,8.19,8.54,8.89,10.221,11.0717,11.5866,11.8,12.3,13.2,13.25,12.7,13.91,12.69,12.7,16.2,18.2,20,20,25.3984,25.3,25.9,20.7,20.7,20.8,21,21,21,21
640423,2.255,2.255,2.255,2.255,2.255,2.255,2.255,2.255,2.255,2.255,2.3996,2.6504,2.5875,3.1528,3.3771,3.4,4.18,4.95,5.73,6.5,9,10,12.3,16,11,12,14,14,17.4,19,21,21,22,23,23,23,23,23,23
640121,10.3619,10.3619,10.3619,10.3619,10.3619,10.3619,10.3619,10.3619,10.3619,10.3619,11.4192,12.1064,12.1134,12.5658,13.4168,15.3,17.18,19.06,20.94,22.8159,26.13,29.4404,28.1631,32.6052,30.8331,31.0726,33.1164,36.5659,35.465,39.0227,52.5176,43,45,45,45,45,45,45,45
640181,11.756,11.756,11.756,11.756,11.756,11.756,11.756,11.756,11.756,11.756,11.756,13.93,16.1,16.87,17.63,18.4,19.7,21,22.3,23.6,25,26,26.9928,23.7031,32.4211,36.1717,37.618,40.2657,41.6359,44.0434,45.8587,48,49,49,49,49,49,49,49
