GA_ID,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020
513332,338.91,340.11,340.86,342.53,344.07,345.54,346.97,348.68,351.16,352.78,354.05,355.39,356.09,356.83,358.33,360.17,361.93,363.05,365.7,367.8,368.96,370.57,372.59,375.15,376.95,378.98,381.15,382.9,385.02,386.5,388.76,390.63,392.65,395.4,397.34,399.65,403.06,405.22,407.62,410.07,412.44
513233,338.91,340.11,340.86,342.53,344.07,345.54,346.97,348.68,351.16,352.78,354.05,355.39,356.09,356.83,358.33,360.17,361.93,363.05,365.7,367.8,368.96,370.57,372.59,375.15,376.95,378.98,381.15,382.9,385.02,386.5,388.76,390.63,392.65,395.4,397.34,399.65,403.06,405.22,407.62,410.07,412.44
513231,338.91,340.11,340.86,342.53,344.07,345.54,346.97,348.68,351.16,352.78,354.05,355.39,356.09,356.83,358.33,360.17,361.93,363.05,365.7,367.8,368.96,370.57,372.59,375.15,376.95,378.98,381.15,382.9,385.02,386.5,388.76,390.63,392.65,395.4,397.34,399.65,403.06,405.22,407.62,410.07,412.44
513232,338.91,340.11,340.86,342.53,344.07,345.54,346.97,348.68,351.16,352.78,354.05,355.39,356.09,356.83,358.33,360.17,361.93,363.05,365.7,367.8,368.96,370.57,372.59,375.15,376.95,378.98,381.15,382.9,385.02,386.5,388.76,390.63,392.65,395.4,397.34,399.65,403.06,405.22,407.62,410.07,412.44
370522,338.91,340.11,340.86,342.53,344.07,345.54,346.97,348.68,351.16,352.78,354.05,355.39,356.09,356.83,358.33,360.17,361.93,363.05,365.7,367.8,368.96,370.57,372.59,375.15,376.95,378.98,381.15,382.9,385.02,386.5,388.76,390.63,392.65,395.4,397.34,399.65,403.06,405.22,407.62,410.07,412.44
370521,338.91,340.11,340.86,342.53,344.07,345.54,346.97,348.68,351.16,352.78,354.05,355.39,356.09,356.83,358.33,360.17,361.93,363.05,365.7,367.8,368.96,370.57,372.59,375.15,376.95,378.98,381.15,382.9,385.02,386.5,388.76,390.63,392.65,395.4,397.34,399.65,403.06,405.22,407.62,410.07,412.44
370523,338.91,340.11,340.86,342.53,344.07,345.54,346.97,348.68,351.16,352.78,354.05,355.39,356.09,356.83,358.33,360.17,361.93,363.05,365.7,367.8,368.96,370.57,372.59,375.15,376.95,378.98,381.15,382.9,385.02,386.5,388.76,390.63,392.65,395.4,397.34,399.65,403.06,405.22,407.62,410.07,412.44
370503,338.91,340.11,340.86,342.53,344.07,345.54,346.97,348.68,351.16,352.78,354.05,355.39,356.09,356.83,358.33,360.17,361.93,363.05,365.7,367.8,368.96,370.57,372.59,375.15,376.95,378.98,381.15,382.9,385.02,386.5,388.76,390.63,392.65,395.4,397.34,399.65,403.06,405.22,407.62,410.07,412.44
370502,338.91,340.11,340.86,342.53,344.07,345.54,346.97,348.68,351.16,352.78,354.05,355.39,356.09,356.83,358.33,360.17,361.93,363.05,365.7,367.8,368.96,370.57,372.59,375.15,376.95,378.98,381.15,382.9,385.02,386.5,388.76,390.63,392.65,395.4,397.34,399.65,403.06,405.22,407.62,410.07,412.44
371425,338.91,340.11,340.86,342.53,344.07,345.54,346.97,348.68,351.16,352.78,354.05,355.39,356.09,356.83,358.33,360.17,361.93,363.05,365.7,367.8,368.96,370.57,372.59,375.15,376.95,378.98,381.15,382.9,385.02,386.5,388.76,390.63,392.65,395.4,397.34,399.65,403.06,405.22,407.62,410.07,412.44
371402,338.91,340.11,340.86,342.53,344.07,345.54,346.97,348.68,351.16,352.78,354.05,355.39,356.09,356.83,358.33,360.17,361.93,363.05,365.7,367.8,368.96,370.57,372.59,375.15,376.95,378.98,381.15,382.9,385.02,386.5,388.76,390.63,392.65,395.4,397.34,399.65,403.06,405.22,407.62,410.07,412.44
