GA_ID,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018
419001,237915,212800,202190,252175,252385,188440,198416,215512,227278,262509,260806,210266,180220,244992,251419,211230,265904,222252,281383,271604,239028,189190,172220,166866,179402,184100,208054,207711,214036,215840,216405,215500,221400,221700,218500,221200,223900,226600,231900
513233,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
513231,,,,,,,,,,,,,,,,,,,,,11610,10700,7320,8734,9081,10089,9340,,,,,,,,9209,,,9898,7193
632123,65845,49559,52901,62462,68307,74791,79950,82230,82690,83730,84040,83470,88975,94480,81390,85526,98694,100940,103080,74165,38981,65300,56280,54658,49240,64642,56454,60802,64130,68906,70383,61865,55447,56227,62492,264839,214126,214126,214126
632321,16537,16537,16537,16537,16537,16537,16537,16537,16537,16537,16537,16537,16537,16537,16537,16537,16537,16537,16537,16537,16537,16537,16286,15769,16283,12303,12674,13912,14677,14253,14332,15221,15151,15147,15400,27483,16556,16556,16556
632523,37430,37430,37430,37430,37430,37430,37430,37430,37430,37430,37430,37430,37430,37430,37430,37430,37430,37430,37430,37430,37430,37430,33724,28574,25758,26263,26169,29275,27116,34649,29998,30223,26064,29750,41351,34151,32146,32146,32146
632324,2320,2320,2320,2320,2320,2320,2320,2320,2320,2320,2320,2320,2320,2320,2320,2320,2320,2320,2320,2320,2320,2320,959,1572,1682,1700,1255,1347,1319,1336,1320,1295,1262,1197,1324,1338,1248,1248,1248
630104,12306,12306,12306,12306,12306,12306,12306,12306,12306,12306,12306,12306,12306,12306,12306,12306,12306,12306,12306,12306,8341,7263,4887,4198,3883,4432,4255,3941,9179,7936,8296,6569,6800,7197,2947,2947,2947,2947,2947
632623,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
632122,74701.25,59625.45,62594.95,91348.1,87705,83590,79836,92720.65,100874.2,94170,98170,101490,104175,106860,77636,80690,117716,122777,127048,86043,73711,85392,80281,70518,70552,75222,47165,69583,116367,132909,184423,210923,219242,212702,226751,308101,344775,344775,344775
632121,26740,23416,26602,27435,28267,29100,31456,31220,27850,29023,30180,31382,32251,33120,31210,32190,34140,34688,35742,24282,22602,23715,18081,16263,17712,21999,33519,43027,47446,48856,50756,47146,47260,48020,40052,41042,40829,40829,40829
632221,33877,33877,33877,33877,33877,33877,33877,33877,33877,33877,33877,33877,33877,33877,33877,33877,33877,33877,33877,33877,33877,33877,31779,31588,30037,39490,30335,36262,31648,35112,33438,36432,40372,37715,45718,76580,49740,49740,49740
632126,108994,108994,135609,138658,141707,155105,147114,173780,164814,170988,176100,160295,163202,166109,179160,186440,191430,194886,200025,115460,120919,165749,149083,156020,129080,134660,122969,126606,138808,137350,134078,120913,116407,112616,115319.8,113517,117963,117963,117963
632322,14463,14463,14463,14463,14463,14463,14463,14463,14463,14463,14463,14463,14463,14463,14463,14463,14463,14463,14463,14463,14463,14463,15158,13105,13462,14918,14024,14099,13892,14430,14798,13908,14207,14236,14000,22587,21289,21289,21289
632323,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,13,,,,953,,
630122,139092,111925,154580,128986,163328,172477,166838,176050,167541,176660,186600,162000,175600,184400,191300,161600,183700,194500,200300,108960,118750,163400,132985,127567,129913,139298,127244,143502,146748,144065,134720,134676,129644,115281,122520,295335,303047,303047,303047
632723,4819,4819,4819,4819,4819,4819,4819,4819,4819,4819,4819,4819,4819,4819,4819,4819,4819,4819,4819,4819,4819,4819,4324,4059,3957,4452,992,3966,3571,3163,3180,3519,2993,3318,2240,3910,3911,3911,3911
632624,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
632128,27634,21965,26092,26870,20238,20691,23171,25954,28716,29608,30500,31420,30273,29125,29797,27884,32602,33591,34536,34598,23994,26213,26484,25409,30036,30786,24761,27382,31955,31571,25680,33903,32405,33058,36251,39751,43925,43925,43925
632522,13061,13061,13061,13061,13061,13061,13061,13061,13061,13061,13061,13061,13061,13061,13061,13061,13061,13061,13061,13061,13061,13061,11341,6277,9124,9512,8123,7348,8350,10251,9336,12783,10790,14299,15983,20272,22034,22034,22034
630121,100059,100059,100059,100059,100059,100059,100059,100059,100059,100059,100059,100059,100059,100059,100059,100059,100059,100059,100059,100059,100059,100059,91779,83603,66974,83171,79035,81731,78186,83789,78171,81101,83438,86316,85998,85293,85526,85526,85526
