GA_ID,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018
419001,8810,8810,8810,8810,8810,8810,9953,11095,12238,13380,14523,15883,17243,18602,19962,21322,21536,21750,21964,22178,22392,21420,21086,21146,21253,21983,22889,23346,20969,22388,23406,23721,24409,23997,24368,25107,,,
513233,,,,,,,,,,,,,,,,,,,,,129,115,128,115,113,117,126,133,372,374,326,328,122,121,123,,,,
513231,,,,,,,,,,,,,,,,,,,,,38,21,25,19,43,45,50,23,52,52,54,25,28,34,79,,,,
632123,2127,2127,2127,2127,2127,2127,2127,2127,2550,2974,3397,3959,3988,4017,4136,4589,4525,4734,4156,4440,4477,4942,5051,4846,4971,4704,4749,4808,4867,5659,5749,5736,6005,5685,5363,5363,,,
632321,558,558,558,558,558,558,558,558,558,558,558,558,558,558,558,558,558,558,558,558,558,558,534,602,718,740,746,769,791,764,767,772,271,760,668,668,,,
632523,1631,1631,1631,1631,1631,1631,1631,1631,1631,1631,1631,1631,1631,1631,1631,1631,1631,1631,1631,1631,1631,1631,1523,1600,1665,1736,1818,2046,2273,1731,1750,1621,1623,1866,1866,1866,,,
632324,,,,,,,,,,,,,,,,,,,,,,8,4,5,22,21,,,11,11,,,,,,,,,
630104,1145,1145,1145,1145,1145,1145,1145,1145,1145,1145,1145,1145,1145,1145,1145,1145,1145,1145,1145,1145,1008,3049,4092,3452,1913,948,932,1420,1908,1628,1494,1354,1230,1068,748,748,,,
632623,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
632122,2382,2382,2382,2382,2382,2382,2382,2382,3123,3863,4604,4991,5009,5027,5077,5462,5018,5203,5575,5822,5242,5717,5500,4690,4099,5139,5261,5997,6733,6368,6704,7683,8667,8736,9058,9058,,,
632121,1056,1056,1056,1056,1056,1056,1056,1056,1113,1170,1227,1508,1740,1972,1678,1318,1705,1736,2648,2661,2703,2133,1935,1569,1831,1825,3174,2821,2468,2813,2825,2808,2729,3029,2687,2687,,,
632221,3015,3015,3015,3015,3015,3015,3015,3015,3015,3015,3015,3015,3015,3015,3015,3015,3015,3015,3015,3015,3015,3015,3276,4013,4300,5604,5813,5854,5895,5924,5940,5950,8035,7637,7721,7721,,,
632126,7014,7014,7014,7014,7014,7014,7014,7014,7893,8773,9653,8660,9561,10461,10780,11570,11079,11461,11080,11286,10379,11606,11317,10125,9154,8534,8840,10135,11430,9100,8791,8579,8672,8639,9397,9397,,,
632322,354,354,354,354,354,354,354,354,354,354,354,354,354,354,354,354,354,354,354,354,354,354,354,302,399,499,544,422,300,341,355,430,496,470,481,481,,,
632323,,,,,,,,,,,,,,,,,,,,,,,62,126,227,,122,239,157,99,93,93,118,115,128,,,,
630122,6025,6025,6025,6025,6025,6025,6025,6025,6025,7057,8089,4249,4740,5495,9378,9448,8789,10193,10011,10449,10751,9744,11164,11719,12818,13410,9383,10393,11403,11601,12234,12639,12909,12788,12919,12919,,,
632723,,,,,,,,,,,,,,,,,,,,,,16,20,15,15,15,15,32,16,16,18,15,31150,31290,26610,22308,,,
632624,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
632128,731,731,731,731,731,731,731,731,976,1222,1468,1692,1478,1263,793,1028,1405,1412,1544,1638,1586,1327,1594,1680,1343,1286,1725,1949,2172,2904,2907,2589,3800,3800,3821,3821,,,
632522,,,,,,,,,,,,,,,,,,,,,,1222,1152,1178,1141,802,547,1980,1415,1211,1349,1342,1870,1775,1748,,,,
630121,8479,8479,8479,8479,8479,8479,8479,8479,8479,8479,8479,8479,8479,8479,8479,8479,8479,8479,8479,8479,8479,8479,8449,8399,8779,9398,9571,9432,9292,9342,9550,9480,10662,9013,9861,9861,,,
632525,,,,,,,,,,,,,,,,,,,,,,2446,1444,963,1757,1791,1383,3478,2456,1917,2703,2657,5223,7464,3774,,,,
632127,1576,1576,1576,1576,1576,1576,1576,1576,1950,2324,2697,2452,2555,2658,2586,2624,3095,3198,3191,3237,3118,3129,3213,3210,2933,2656,3594,3931,4267,3550,3580,3018,3862,3718,3728,3728,,,
640423,3116,3116,3116,3116,3116,3116,3116,3116,3116,3116,3116,3116,3365,4043,4666,4767,5293,6091,7858,7646,7433,8222,10838,9283,9453,9174,8809,8860,9500,9587,9625,9663,9572,9577,9169,9025,,,
640121,7857,7857,7857,7857,7857,7857,7857,7857,7857,7857,7857,7857,8260,10111,10068,13516,10883,21447,32011,42575,47273,51970,48844,50402,55171,57990,55229,55562,55047,56808,55562,55677,55711,61403,57957,57751,,,49297
