GA_ID,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018
419001,,,,,,5683,,,,,12114,,,430,560,11331,,,15758,20052,23265,26384,28543,31157,35524,40413,44050,47505,40768,43360,45344,48000,50000,40000,37327,30349,,,
513233,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
513231,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
632123,,,,,,,,,,,2171,1032,,2120,2162,2533,1881,1946,1962,1238,1127,776,828,845,971,932,970,826,815,864,884,945,938,954,837,,,,
632321,,,,,,,,,,,,,,,,,,,,,,114,171,184,183,232,249,256,255,286,288,295,322,329,344,,,,
632523,,,,,,,,,,,,,,,,,,,,,,4392,2213,2283,1953,2758,2433,2533,2568,2640,2643,2807,2753,2895,2939,,,,
632324,,,,,,,,,,,,,,,,,,,,,,,,,,,9,,,,,,,,,,,,
630104,,,,,,,,,,,,,,,,,,,,560,204,241,213,104,77,90,34,336,379,1170,1712,20,20,,,,,,
632623,,,,,,,,,,,,,,,,,,,,,,,,,,,16,,,,,,,,,,,,
632122,,,,,,,,,,,7373,9646,,9705,7786,8123,7809,8103,8108,8158,7936,4063,4581,4594,5435,4899,4345,4348,4152,4039,3621,4015,4174,4617,4164,,,,
632121,,,,,,,,,,,121,164,,138,133,139,137,143,141,141,149,130,102,107,108,103,108,108,111,108,108,110,98,98,96,,,,
632221,,,,,,,,,,,,,,,,,,,,,,,,,,,32,,,,,,,,,,,,
632126,,,,,,,,,,,997,842,,1012,1165,1425,1425,1432,1434,1115,871,875,846,790,757,665,652,636,606,606,530,495,399,,,,,,
632322,,,,,,,,,,,,,,,,,,,,,,1078,1110,1028,1053,1017,760,780,785,992,952,1007,990,986,1013,,,,
632323,,,,,,,,,,,,,,,,,,,,,,,,,,,45,,,,,,,,,,,,
630122,,,,,,,,,,,1310,1317,1187,1261,1287,1170,1418,1319,1326,1337,2675,1408,1172,936,1075,1076,646,548,615,577,6,641,684,513,388,407,,,
632723,,,,,,,,,,,,,,,,,,,,,,,,,,,14,,,,,,,,,,,,
632624,,,,,,,,,,,,,,,,,,,,,,,,,,,13,,,,,,,,,,,,
