GA_ID,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016
419001,117,122,113,218,328,389,428,470,496,538,601,647,703,852,1237,1532,1928,2170,2221,,2425,2536,2694,2878,2321,3889.24,4510,5346,6176,6763,7784,9341,10648,11958,13166,,
513233,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
513231,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
632123,71,44,129,148,202,292,328,345,360,373,,,,,666.27,848.5,961.4,1162,1286,,1089,1248,1401.1,1562,1340,2009,2315,2730,3248,3872,4582,4822,5609,6515,7399,,
632321,,,,,,,,,,,,,,,,562.1,641.7,,,,,1577,1673.38,1783,,2066,2325,2524,2726,3035,3495,3894,4537,5244,5938,,
632523,,,,,,,,,,,,,,,,688.5,743.1,,,,,1578,1708.86,1896,,2233,2417,2646,2942,3540,4071,4801,5716,6640,7523,,
632324,,,,,,,,,,,,,,,,705.4,900.1,,,,,1365,1460.81,1560,,1770,1873,1993,2117,2013,2425,2718,3352,3850,4360,,
630104,,,,,,,,,,,,,,,,,,,,,11263.07,12882,14701.2,16654,9863.13,20711,23291,25904,27055,30220,33416,38204,43698,50058,56547,,
632623,,,,,,,,,,,,,,,,627.1,646.4,,,,,1130,1212.85,1308,,1485,1582,1689,1795,1171,2028,2282,2802,3308,3758,,
632122,54,39,125,176.92,201.82,230.24,272.23,301.33,333.23,330.75,,,,,508.14,613.5,755.8,1168,1283,,1014,1148,1291.95,1467,1262,1956,2258,2653,3121,3701,4459,4327,5032,5839,6593,,
632121,85,88,96,,,228.5,266.2,286,298,319.6,,,,,527.08,559.7,681.1,1051,1195,,1312,1435,1591.04,1748,1227,2216,2504,2885,3386,3994,4696,4877,5668,6549,7379,,
632221,,,,,,,,,,,,,,,,930.6,1203,,,,,1280,1392.77,1485,,1841,2007,2380,3582,3592,4313,5646,6697,7773,8754,,
632126,,65,97,,254,289,298,346.1,388,411,,,,,604.53,708.6,729.1,1125,1255,,1302,1434,1576.03,1727,1310,2159,2462,2883,3374,4010,4864,5032,5853,6734,7547,,
632322,,,,,,,,,,,,,,,,457,550,,,,,1177,1252.15,1352,,1611,1766,1940,2125,2361,2717,3402,4055,4567,5184,,
632323,,,,,,,,,,,,,,,,599.9,633.5,,,,,1016,1093.16,1169,,1370,1537,1670,1811,2013,2317,2924,3523,4160,4742,,
630122,51,56,118,117,273,314,340,360,387,397,411,414,451,498,605,715,803,1141,1278,,1345,1457,1582.07,1742,1054,2148,2451,2854,3317,4004,4781,5894,6974,8064,9096,,
632723,,,,,,,,,,,,,,,,536.4,544.1,,,,,1182,1188.43,1270,,1546,1657,1782,1889,2033,3893,2532,3369,3942,4487,,
632624,,,,,,,,,,,,,,,,633.4,669.7,,,,,1005,1084.69,1167,,1359,1448,1547,1624,3526,1861,2085,2527,3034,3448,,
632128,83,53,100,150,138,183,223,256,306,310,,,,,469.12,478.4,531.4,1033,1200,,1236,1311,1389.49,1561,1315,2015,2320,2730,3251,3874,4651,4013,4664,5404,6094,,
632522,,,,,,,,,,,,,,,,951.5,974.8,,,,,1803,1969.78,2127,,2517,2699,3079,3397,4009,4744,5189,5489,6494,7362,,
630121,,,,,,,,,,,,,,,,771.4,982.4,,,,,1676,1821.1,2014,,2514,2843,3310,3863,4644,5547,6845,8109,9362,10570,,
632525,,,,,,,,,,,,,,,,862.2,879.1,,,,,1444,1658.14,1831,,2190,2370,2560,2825,3035,4110,4965,5912,6811,7711,,
632127,62,48,72,104,239,267,277,306.4,338,344,,,,,558.05,655.1,760.6,1049,1220,,903,1009,1181.2,1288,1221,1798,2104,2510,2998,3609,4229,4376,5086,5854,6600,,
640423,,,148,199,177,187,206,252,165,303.41,332.23,396.05,366.55,445.86,622.48,631.05,878.13,867.12,1033.23,,1081.73,1129.26,1230.1,1300.36,1036.12,1696.4,1905.55,2175.001271,2603.54459,2959,3478,4076,4672,5350,6199,,
640121,,,,508,564,467,552,573,698,813,941.45,960.05,895.68,945.62,1230.45,1648,2216,2517,2683,,2543,2712,2831,2975,2497,3374,3678,4193,4747,5127,5896,6783,7764,8706,10130,,
640181,,,395,344,369,433,476,509,600,689,769,790.33,795.38,888.85,1244.84,1513.21,1866.69,2330.5,2493.5,,2704.95,2837.37,2863,3009,2540.56,3597,3892,4426,5184,5733,6581,7566,8618,9652,10756,,
640302,226.02,,,,,,,,,592,677.54,757.19,794.22,876.93,1105.46,1384.08,1876.81,2323.02,2626.89,,2853.46,3039.8,3150.05,,2674.74,,,,,,,11800,13420,15166,16624,,
