GA_ID,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018
419001,3416,3416,3416,3416,3416,3416,3993,4570,5147,5724,6301,7046,7549,6619,14677,17282,17047.75,16813.5,16579.25,16345,17322,18051,18872,19439,19976,20800,19099,19537,15172,16557.2,17023.4092,17800,18900,19100,21500,21500,21500,21500,21500
513233,88,88,88,88,88,88,88,88,88,88,88,88,88,88,54,20,29,25,26,24,25,15,24,2465,2558,162,105,115,123,131,135,138,139,140,142,144,146,146,146
513231,300,300,300,300,300,300,300,300,300,300,300,300,300,300,74,74,79,48,48,48,48,68,99,102,114,122,126,140,145,145,150,155,174,182,183,190,211,211,211
632123,596.4,596.4,596.4,596.4,596.4,596.4,596.4,596.4,816.95,844.6,804.27,887,901,777,816.41,838.4,881.6,923,936,1071,1159,1238,1333,1223.22,1295,1467,1539,1588,375,303.63,1519.99,1519.99,1519.99,1519.99,1519.99,1519.99,1519.99,1519.99,1519.99
632321,113,113,113,113,113,113,113,113,82.6,118.7,120,121,231,261,269,130.2,162.7,125,135,135,380,411,416,317,418,436,487,525,533,563,398,398,398,398,398,398,398,398,398
632523,322.7,322.7,322.7,322.7,322.7,322.7,322.7,322.7,321.73,326.14,350,621,632,642,665,692.2,782,1398.8,1984,2189,1882,2030,1556,1732.84,2162,2169,2505,2652,2720,494,997.7,997.7,997.7,997.7,997.7,997.7,997.7,997.7,997.7
632324,,,,,,,,,,,,,,,,,,8,9,10,10,10,32,28,,,,,,,,,,,,,,,
630104,4377,4377,4377,4377,4377,4377,4377,4377,4377,4377,4377,4377,4377,4377,4377,4377,4377,4377,4377,4377,4377,4377,1666,2202.78,2242,2270,2309,2105,2849,1756,2322.5,2889,2961,2961,2961,2961,2961,2961,2961
632623,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
632122,1388.6,1388.6,1388.6,1388.6,1388.6,1388.6,1388.6,1388.6,1396.9,1599.4,1647.38,1779,1949,3273.12,3373,1494,1217,1381,1392,1391,1625,1735,2817,3100,2890,3452,3645,3720,339,950,2472.57,2472.57,2472.57,2472.57,2472.57,2472.57,2472.57,2472.57,2472.57
632121,231.9,231.9,231.9,231.9,231.9,231.9,231.9,231.9,282,277.31,267.99,288,315,343,385,505,562,642,632,625,706,740,1287,1301,1364,1381,1434,1657,128,161.75,1254.9,1254.9,1254.9,1254.9,1254.9,1254.9,1254.9,1254.9,1254.9
632221,223.8,223.8,223.8,223.8,223.8,223.8,223.8,223.8,220.33,293.85,745.8,362,398,383.4,425.7,580.3,767.9,714,758,780,741,763,939,881,959,990,1022,1034,1044,341,550.69,550.69,550.69,550.69,550.69,550.69,550.69,550.69,550.69
632126,595.3,595.3,595.3,595.3,595.3,595.3,595.3,595.3,873.67,1026,1264.97,1181,1148,1308,1385,1706,1575.5,1722,1767,1600,1603,1671,1741,2036,2837,3437,3500,3500,193,184.52,1916,1916,1916,1916,1916,1916,1916,1916,1916
632322,82.9,82.9,82.9,82.9,82.9,82.9,82.9,82.9,55.26,108.29,171.11,210,346,442,329,239,302.6,326,332,493,719,647,636,586,606,590,550,540,5738,379,390,390,390,390,390,390,390,390,390
632323,,,,,,,,1.4,,,,,,,,,,,,,,,,,,,,,36,65,75,,,,,,,,
630122,1131,1131,1131,1131,1131,1131,1131,1131,1133,1204,1290.2,1289,1387,1418,1492,1584,1618.3,1716,1798,1865,2024,2068,2269,2538,2838,3107,3269,4463,4400,3360,3839.6,5569,6036,6036,6036,6036,6036,6036,6036
632723,33,33,33,33,33,33,33,33,13.2,57,87,105,116,103,72,93,62,90,366,156,191,418,294,230,2300,260,260,260,260,260,324,324,324,324,324,324,324,324,324
632624,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
632128,421.5,421.5,421.5,421.5,421.5,421.5,421.5,421.5,429.27,471.71,468.82,474,479,561,566,568,595,819,850,890,905,945,951,1024,1061,1113,1145,1278,1138,339,894,894,894,894,894,894,894,894,894
632522,74.4,74.4,74.4,74.4,74.4,74.4,74.4,74.4,44.99,51.12,40.98,177,177,175.35,177.43,198,195.9,367,349,368,329,296,292,292,399,621,623,824,870,865,229.5,229.5,229.5,229.5,229.5,229.5,229.5,229.5,229.5
630121,1064.6,1064.6,1064.6,1064.6,1064.6,1064.6,1064.6,1064.6,913.62,888.12,1111.41,1144,1189,1651.44,1269.66,1415.2,1741.5,2426,1541,1442,1525,1624,723,1075,1278,2036,2401,2613,3178,3015,3243.6,4515,5107,5107,5107,5107,5107,5107,5107
632525,264,264,264,264,264,264,264,264,183.36,184.96,386.93,407,413,465.28,597,573,673,708,610,587,980,990,1119,1133,1369,1376,1385,1428,1466,1487,295.7,295.7,295.7,295.7,295.7,295.7,295.7,295.7,295.7
