GA_ID,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020
513332,265.5599969,264.9065633,263.8702064,265.2294905,264.8149519,265.1020879,267.0901138,265.8651915,264.9253928,264.7983749,265.2892515,264.3313001,265.1520232,265.6826044,265.0282691,265.7186284,264.1157733,265.9149564,265.8981447,264.8572143,264.8472744,265.5555345,266.0606257,265.2716413,265.5162377,266.2692404,266.0151693,265.0385411,266.0028396,266.3330733,264.9363531,265.2488054,265.7921206,265.8552633,266.2322053,265.8083049,265.7891183,265.5629043,265.746384,266.8277537
513233,272.8023392,271.9721521,270.8253626,271.7145356,270.9214041,272.257609,273.3505196,271.7300835,270.9964575,272.2033909,271.8397059,271.6144278,272.0513352,272.102291,271.2275292,271.7218194,271.5060339,272.3503648,272.5985548,271.6201787,271.3842688,272.0616869,272.9174991,271.6676051,271.904482,272.6817173,272.0131499,272.2263578,273.2563269,272.1516237,271.5163168,271.686872,272.4979611,271.8208558,272.4711914,273.0901524,272.7714785,271.4154847,273.0033423,273.677282
513231,271.8652577,270.9396258,269.1215265,270.2179915,269.5506089,271.3920399,272.5848657,270.1923586,269.5169481,270.9464392,270.6854422,270.2773054,270.6513607,270.5842416,269.8588762,270.5813555,270.7849064,270.7084151,271.8387318,270.6648371,270.1511258,271.3665892,272.2560566,271.2730705,270.6513091,271.4450847,270.8154734,270.9610253,272.2143533,271.3103134,270.3088225,270.8278879,271.0704746,270.7671474,271.4999496,272.1757327,271.621206,270.0037635,272.2281669,273.0297703
513232,272.676785,272.0182423,270.687638,271.6129805,271.4645438,272.2791192,273.7199657,271.6404641,270.9474157,272.9708368,272.3174834,272.1705086,272.7232381,272.4778142,271.1575938,272.3260361,272.2341069,272.5952619,273.1113947,272.2529828,272.0763156,273.0091549,273.7043126,273.142815,273.0733407,273.8851149,272.8114361,273.0927088,274.6449824,274.3999636,272.1759798,271.9126019,272.6398718,271.9894291,273.1567916,273.5961971,273.4620121,272.5928757,273.5158619,274.9257895
370522,285.9773399,286.8416727,286.6119857,285.6778051,285.2855944,285.860514,286.2226858,286.3045141,286.8023173,286.1845791,285.880691,286.0802256,286.2146985,287.1503605,286.2626475,285.9361082,286.7029019,287.2093382,287.1977652,286.9709383,286.6748625,287.1279576,286.2696422,286.8589812,286.6191008,287.3018016,287.1422277,286.7682404,286.810513,286.1348365,286.1881965,286.2411811,286.4248346,287.5464945,287.1231992,287.2587776,287.5533146,287.2465105,287.6926868,287.2408598
370521,285.7873276,286.5796593,286.4700962,285.5555366,285.1221001,285.7099048,286.0009403,286.1658212,286.6437213,286.1374618,285.8328364,285.948784,286.0736524,287.0308583,286.1308909,285.8286797,286.5438965,287.0741162,286.9710583,286.7431446,286.535196,286.9387922,286.0414501,286.7596393,286.419015,287.0609498,287.029434,286.5916147,286.6925192,285.9390877,286.0632254,286.1505134,286.3103554,287.3834883,287.0127783,287.1349312,287.4698174,287.0816902,287.5840663,287.1262577
370523,286.2089678,286.9380856,286.8298718,285.843868,285.5495423,286.0857203,286.566564,286.5795791,286.9588995,286.5201701,286.1262289,286.2608937,286.3219544,287.3478181,286.4388143,286.1623859,286.9823808,287.4224172,287.3887004,287.1203318,286.8029142,287.3125364,286.3442795,287.0154173,286.67191,287.6530794,287.4283767,286.8732729,287.119129,286.4713419,286.4099098,286.496608,286.8109134,287.8035116,287.4523563,287.5775312,287.8779122,287.6332855,288.0614623,287.368823
370503,285.893993,286.7151386,286.572352,285.6159498,285.1609709,285.739984,286.0685999,286.1949363,286.7504959,286.1583075,285.8255555,286.0257278,286.1915468,287.0949144,286.2013504,285.8428014,286.5462642,287.0896274,287.0719966,286.7734127,286.6547899,286.9842545,286.1895671,286.8098968,286.5666127,287.0299201,287.0146737,286.6613366,286.66077,285.8833924,286.0930653,286.1315362,286.2127966,287.3826598,286.9548679,287.1003873,287.4425268,287.0193875,287.4881446,287.2008648
370502,285.984677,286.7999715,286.6601433,285.7132817,285.3381461,285.8998382,286.263491,286.3687689,286.8126139,286.3194947,285.9738589,286.1092547,286.206034,287.195326,286.302222,286.00731,286.77457,287.2750981,287.1892043,286.9700398,286.6718939,287.1373601,286.2121506,286.9031533,286.5562736,287.3639124,287.2599841,286.7601979,286.9053743,286.2513588,286.2714461,286.3415883,286.5797786,287.5832131,287.2353206,287.3736028,287.6606579,287.3856259,287.8559167,287.2560372
371425,286.8012804,287.5008372,287.5684635,286.3179962,286.1386089,286.7466137,287.2047007,286.9886665,287.4528963,287.1172488,286.7142225,286.9260209,286.744188,287.8852578,287.1144603,286.7353706,287.6371731,288.1257045,288.0645076,287.744057,287.4450386,288.0660334,286.8035957,287.5201547,287.1183447,288.1626088,288.0538762,287.3705173,287.5074413,287.1140905,286.9273657,287.1243098,287.4806951,288.2669328,287.8565185,288.0613442,288.2365336,288.1680588,288.5160337,287.9709871
