GA_ID,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020
513332,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,260233.4649,52083.46336,20086.18213,434051.9022,986398.333,0,630525.8198,640572.9227,6695.354492,204649.5135,101994.1629,40130.5127,0,182178.1092,301860.1488,156594.3782,1435064.991,1203612.791,266270.8467,147649.1648,151250.7271
513233,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2257389.366,3009807.811,1965790.708,467434.1582,1795809.026,3070511.87,2575280.12,1796265.634,3274682.629,2250450.662,922247.833,1112052.402,74404.84766,3498169.676,4339828.724,4474916.011,3409741.057,4495676.81,2910967.19,6540046.025,7172846.053
513231,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1808431.113,1939371.903,1203833.664,1278686.713,1777688.411,2299127.362,2281860.791,1574244.982,2206343.317,1983017.94,666755.4488,516543.2048,63687.08351,2534449.746,2671083.217,2406537.524,2203031.245,1851272.483,2133397.02,3606345.56,3496445.691
513232,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2.92E+07,3.87E+07,3.06E+07,1.18E+07,3.27E+07,4.29E+07,4.62E+07,2.57E+07,3.25E+07,3.39E+07,2.25E+07,2.32E+07,2797549.541,4.38E+07,5.12E+07,4.86E+07,4.57E+07,3.56E+07,4.75E+07,5.66E+07,7.92E+07
370522,1329242.47,4287806.855,6913114.007,481847.815,4365609.76,64125.38477,1676791.108,7610692.778,5799811.875,3286505.949,1.04E+07,1.22E+07,1.53E+07,1.07E+07,8341033.26,6.01E+07,8.10E+07,4.43E+07,7.98E+07,8.84E+07,7.53E+07,8.12E+07,8.03E+07,9.41E+07,8.90E+07,4.44E+07,2.35E+07,3.56E+07,1.05E+08,1.18E+08,1.12E+08,1.07E+08,1.24E+08,1.23E+08,1.22E+08,1.20E+08
370521,5724821.047,3.28E+07,1438945.475,629751.3662,3.69E+07,0,1.75E+07,3882887.856,634554.4282,25666.31641,4.78E+07,647330.5298,7213016.02,3739614.379,1.98E+07,1.61E+08,2.07E+08,1.96E+08,1.70E+08,2.47E+08,2.06E+08,2.42E+08,2.15E+08,3.40E+08,3.26E+08,2.08E+08,1.88E+08,3.11E+07,3.23E+08,3.43E+08,3.39E+08,3.09E+08,3.77E+08,3.93E+08,4.00E+08,3.79E+08
370523,744313.2453,8479937.101,0,0,4301738.432,0,0,1.42E+07,0,0,2.73E+07,0,0,0,6692734.866,5.61E+07,6.54E+07,6.42E+07,5.03E+07,6.83E+07,7.11E+07,6.91E+07,6.17E+07,7.90E+07,7.63E+07,5.27E+07,5.63E+07,0,8.65E+07,1.06E+08,9.35E+07,9.13E+07,1.02E+08,9.75E+07,1.04E+08,9.87E+07
370503,2.55E+07,6.97E+07,2.53E+07,1.24E+07,9.07E+07,25471.38135,4.48E+07,2.75E+07,3.54E+07,2.71E+07,1.02E+08,2.08E+07,4.02E+07,5.73E+07,7.28E+07,3.09E+08,4.91E+08,4.67E+08,5.36E+08,4.17E+08,4.50E+08,4.94E+08,4.91E+08,5.54E+08,5.19E+08,3.48E+08,2.96E+08,2.48E+08,6.02E+08,7.01E+08,7.08E+08,7.19E+08,7.84E+08,7.72E+08,7.72E+08,7.61E+08
370502,2734573.929,4.93E+07,481127.7673,88105.25282,3.30E+07,0,2484575.202,4.38E+07,224858.3647,6421.456055,9.10E+07,578359.5103,1145429.264,1116541.624,6948827.773,1.76E+08,2.09E+08,1.85E+08,1.74E+08,2.10E+08,2.11E+08,2.09E+08,1.67E+08,2.21E+08,2.05E+08,1.69E+08,1.17E+08,1397255.835,2.10E+08,2.32E+08,2.06E+08,1.76E+08,2.02E+08,1.95E+08,2.16E+08,2.03E+08
371425,981004.3827,19368.82324,454397.556,517503.4868,0,0,512411.7251,0,0,90467.1958,58421.79346,240089.4443,90675.6001,0,103775.1758,2227450.003,1240551.305,1018831.797,266019.1382,3508196.893,779577.4139,97206.09424,3101100.217,183656.6921,1371668.375,369759.0399,6487.964355,207704.7235,8209319.774,4123245.592,4354816.072,1.18E+07,1.40E+07,1.48E+07,1.32E+07,3477267.227
